
 Bigram NP 
fiscal year 34
government performance 30
results-oriented management 17
strategic planning 16
result act 16
annual performance 15
coast guard 11
cfo act 11
our work 10
their performance 10
it mission 10
federal agency 9
federal government 8
organizational level 7
case illustration 7
it performance 6
marine safety 6
cfo council 6
strategic plan 5
public sector 4
their information 4
their program 4
custom service 3
their budget 3
human resource 3
it progress 3
carey award 3
executive guide 3
actual performance 3
top leadership 3
federal management 3
accountability report 3
atmospheric administration 2
particular practice 2
new zealand 2
managerial flexibility 2
managerial accountability 2
overall mission 2
third-party service 2
national oceanic 2
new focus 2
united kingdom 2
puerto rico 2
summary report 2
important part 2
organizational mission 2
momentum essential 2
financial reporting 2
medical care 2
general agreement 2
private sector 2
congressional decisionmaking 2
it management 2
central computer 2
abroad suggest 2
provide insight 2
starting point 2
civil service 2
build expertise 2
it staff 2
international trade 2
it implementation 2
public administration 2
their ability 2
traditional focus 2
achieving gpra 2
major reorganization 2
their organization 2
their mission 2
veteran affair 2
executive branch 2
it ability 2
internal environment 1
workforce issue 1
their cultures.29 1
applied research 1
appropriate authorization 1
long time 1
accountability leading 1
environmental assessment 1
continuous balancing 1
important business 1
australian government 1
easy transition 1
federal program 1
it power 1
significant role 1
their core 1
national institute 1
it dissemination 1
other stakeholders.32 1
introduction page 1
businesslike manner 1
vital goal 1
our purpose 1
wide range 1
pilot basis 1
personnel management 1
our mission 1
results-oriented environment 1
initial pilot 1
total count 1
public prior 1
efficient government 1
it program 1
long-term commitment 1
their work 1
g sts 1
key business 1
basic approach 1
traditional lecture 1
outstanding inspection 1
their transition 1
useful framework 1
joint effort 1
active involvement 1
safety system 1
financial management 1
small percentage 1
direct program 1
factual analysis 1
medical insurance 1
broad array 1
different program 1
career leadership 1
other management 1
public alike 1
year-out budget 1
food safety 1
prominent mean 1
hurricane hugo 1
costly program 1
key information 1
public review 1
it core 1
unhealthy air 1
their judgment 1
other information 1
it responsiveness 1
prestigious award 1
financial condition 1
her contribution 1
sufficiently complete 1
outpatient program 1
ongoing process 1
long-standing management 1
single address 1
clear understanding 1
isolated support 1
first time 1
proper notification 1
time-of providing 1
legitimate movement 1
interactive approach 1
it context 1
unsafe drinking 1
federal employment 1
basic understanding 1
their streamlining 1
loma prieta 1
nation's coastal 1
significant challenge 1
federal agency-are 1
american public 1
associate director 1
external environment 1
it focus 1
it care 1
new information 1
comprehensive mission 1
endemic situation 1
successful outcome 1
key performance 1
reliable information 1
it work 1
improved performance 1
particular document 1
it agenda 1
sequential approach 1
full-time staff 1
support mission 1
difficult balance 1
reliable performance 1
our performance 1
minor property 1
burdensome number 1
